Station Name,Latitude,Longitude,Month,PM2.5 (ug/m^3)
Prince George Plaza,53.91472371,-122.7418253,01-Apr-23,6.517
Prince George Plaza,53.91472371,-122.7418253,01-May-23,18.913
Prince George Plaza,53.91472371,-122.7418253,01-Jun-23,12.419
Prince George Plaza,53.91472371,-122.7418253,01-Jul-23,26.077
Prince George Plaza,53.91472371,-122.7418253,01-Aug-23,14.013
Prince George Plaza,53.91472371,-122.7418253,01-Sep-23,31.53
Prince George Plaza,53.91472371,-122.7418253,01-Oct-23,7.57
Prince George Plaza,53.91472371,-122.7418253,01-Nov-23,11.89
Prince George Plaza,53.91472371,-122.7418253,01-Dec-23,9.055
Prince George Plaza,53.91472371,-122.7418253,01-Jan-24,10.087
Prince George Plaza,53.91472371,-122.7418253,01-Feb-24,13.197
Prince George Plaza,53.91472371,-122.7418253,01-Mar-24,10.37
Colwood City Hall,48.42342396,-123.4934565,01-Jun-23,2.92
Colwood City Hall,48.42342396,-123.4934565,01-Jul-23,3.663
Colwood City Hall,48.42342396,-123.4934565,01-Aug-23,8.784
Colwood City Hall,48.42342396,-123.4934565,01-Sep-23,5.905
Colwood City Hall,48.42342396,-123.4934565,01-Oct-23,6.323
Colwood City Hall,48.42342396,-123.4934565,01-Nov-23,6.963
Colwood City Hall,48.42342396,-123.4934565,01-Dec-23,5.51
Colwood City Hall,48.42342396,-123.4934565,01-Jan-24,4.963
Colwood City Hall,48.42342396,-123.4934565,01-Feb-24,4.838
Colwood City Hall,48.42342396,-123.4934565,01-Mar-24,4.65
Victoria Topaz,48.44205533,-123.3633054,01-Apr-23,5.24
Victoria Topaz,48.44205533,-123.3633054,01-May-23,6.735
Victoria Topaz,48.44205533,-123.3633054,01-Jun-23,5.59
Victoria Topaz,48.44205533,-123.3633054,01-Jul-23,5.487
Victoria Topaz,48.44205533,-123.3633054,01-Aug-23,6.714
Victoria Topaz,48.44205533,-123.3633054,01-Sep-23,6.61
Victoria Topaz,48.44205533,-123.3633054,01-Oct-23,7.023
Victoria Topaz,48.44205533,-123.3633054,01-Nov-23,8.632
Victoria Topaz,48.44205533,-123.3633054,01-Dec-23,5.976
Victoria Topaz,48.44205533,-123.3633054,01-Jan-24,4.781
Victoria Topaz,48.44205533,-123.3633054,01-Feb-24,5.503
Victoria Topaz,48.44205533,-123.3633054,01-Mar-24,4.989
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Apr-23,2.713
Nanaimo Labieux Road,49.20157648,-123.9936953,01-May-23,5.681
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Jun-23,4.153
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Jul-23,4.052
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Aug-23,7.31
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Sep-23,5.12
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Oct-23,4.426
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Nov-23,4.74
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Dec-23,2.623
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Jan-24,2.184
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Feb-24,2.814
Nanaimo Labieux Road,49.20157648,-123.9936953,01-Mar-24,2.833
Squamish Elementary,49.70455812,-123.1496671,01-Apr-23,3.4
Squamish Elementary,49.70455812,-123.1496671,01-May-23,7.932
Squamish Elementary,49.70455812,-123.1496671,01-Jun-23,6.133
Squamish Elementary,49.70455812,-123.1496671,01-Jul-23,6.526
Squamish Elementary,49.70455812,-123.1496671,01-Aug-23,13.255
Squamish Elementary,49.70455812,-123.1496671,01-Sep-23,7.041
Squamish Elementary,49.70455812,-123.1496671,01-Oct-23,6.426
Squamish Elementary,49.70455812,-123.1496671,01-Nov-23,6.137
Squamish Elementary,49.70455812,-123.1496671,01-Dec-23,3.629
Squamish Elementary,49.70455812,-123.1496671,01-Jan-24,3.203
Squamish Elementary,49.70455812,-123.1496671,01-Feb-24,4.086
Squamish Elementary,49.70455812,-123.1496671,01-Mar-24,4.295
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Apr-23,3.581
North Vancouver Mahon Park,49.32398568,-123.0827844,01-May-23,6.219
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Jun-23,4.947
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Jul-23,4.087
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Aug-23,9.019
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Sep-23,5.157
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Oct-23,4.719
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Nov-23,4.243
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Dec-23,2.958
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Jan-24,3.667
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Feb-24,3.636
North Vancouver Mahon Park,49.32398568,-123.0827844,01-Mar-24,3.541
Vancouver International Airport #2,49.18654033,-123.1536941,01-Apr-23,3.579
Vancouver International Airport #3,49.18654033,-123.1536941,01-May-23,5.603
Vancouver International Airport #4,49.18654033,-123.1536941,01-Jun-23,4.383
Vancouver International Airport #5,49.18654033,-123.1536941,01-Jul-23,3.99
Vancouver International Airport #6,49.18654033,-123.1536941,01-Aug-23,7.157
Vancouver International Airport #7,49.18654033,-123.1536941,01-Sep-23,6.04
Vancouver International Airport #8,49.18654033,-123.1536941,01-Oct-23,5.735
Vancouver International Airport #9,49.18654033,-123.1536941,01-Nov-23,6.377
Vancouver International Airport #10,49.18654033,-123.1536941,01-Dec-23,4.306
Vancouver International Airport #11,49.18654033,-123.1536941,01-Jan-24,4.871
Vancouver International Airport #12,49.18654033,-123.1536941,01-Feb-24,4.052
Vancouver International Airport #13,49.18654033,-123.1536941,01-Mar-24,4.413
